"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.217553945E2,6.496592769E1,2.561748443E1,1.141529008E1,2.892266846E1,1.539999962E0,9.390000153E1,1.966338081E-1,9.935046196E0,2.500000000E0,5.100000000E1
1.227558469E2,6.496592829E1,2.561751744E1,1.167737109E1,2.918475342E1,1.509999990E0,9.209999847E1,1.982087055E-1,9.935046196E0,2.500000000E0,6.600000000E1
1.237556368E2,6.496592980E1,2.561755072E1,1.171575908E1,2.922314453E1,1.549999952E0,8.780000305E1,1.998687360E-1,9.935046196E0,2.500000000E0,6.700000000E1
1.247556878E2,6.496592977E1,2.561758600E1,1.181762190E1,2.932501221E1,1.549999952E0,9.100000000E1,2.013459776E-1,9.935046196E0,2.500000000E0,6.900000000E1
1.257557234E2,6.496592914E1,2.561761736E1,1.201152569E1,2.951892090E1,1.440000057E0,9.219999695E1,2.027387647E-1,9.935046196E0,2.500000000E0,6.900000000E1
1.267557079E2,6.496592834E1,2.561764690E1,1.202153064E1,2.952893066E1,1.460000038E0,9.159999847E1,2.042813114E-1,9.935046196E0,2.500000000E0,6.900000000E1
1.277559890E2,6.496592724E1,2.561767958E1,1.182725021E1,2.933465576E1,1.500000000E0,9.100000000E1,2.058385098E-1,9.935046196E0,2.500000000E0,6.900000000E1
1.287559508E2,6.496592670E1,2.561771265E1,1.198294584E1,2.949035645E1,1.519999981E0,9.269999695E1,2.073814239E-1,9.935046196E0,2.500000000E0,6.900000000E1
1.297554823E2,6.496592659E1,2.561774544E1,1.195584164E1,2.946325684E1,1.519999981E0,9.080000305E1,2.088182872E-1,9.935046196E0,2.500000000E0,6.900000000E1
1.307550940E2,6.496592631E1,2.561777597E1,1.197060769E1,2.947802734E1,1.509999990E0,9.050000000E1,2.101862254E-1,9.935046196E0,2.500000000E0,7.100000000E1
1.317556839E2,6.496592689E1,2.561780501E1,1.195290407E1,2.946032715E1,1.450000048E0,8.769999695E1,2.117520640E-1,9.935046196E0,2.500000000E0,7.100000000E1
1.327550980E2,6.496592631E1,2.561783826E1,1.196760843E1,2.947503662E1,1.549999952E0,9.119999695E1,2.134183396E-1,9.935046196E0,2.500000000E0,7.100000000E1
1.337558412E2,6.496592442E1,2.561787339E1,1.184711841E1,2.935455322E1,1.590000033E0,9.380000305E1,2.150660884E-1,9.935046196E0,2.500000000E0,7.100000000E1
1.347553458E2,6.496592252E1,2.561790812E1,1.182257570E1,2.933001709E1,1.690000057E0,9.290000153E1,2.167461774E-1,9.935046196E0,2.500000000E0,7.100000000E1
1.357555710E2,6.496592125E1,2.561794370E1,1.147796512E1,2.898541260E1,1.649999976E0,9.209999847E1,2.184537343E-1,9.935046196E0,2.500000000E0,7.000000000E1
1.367555562E2,6.496592121E1,2.561797999E1,1.150292349E1,2.901037598E1,1.740000010E0,9.080000305E1,2.202370421E-1,9.935046196E0,2.500000000E0,7.000000000E1
1.377560404E2,6.496592119E1,2.561801789E1,1.168327716E1,2.919073486E1,1.730000019E0,9.240000153E1,2.220165623E-1,9.935046196E0,2.500000000E0,6.900000000E1
1.387554885E2,6.496592022E1,2.561805564E1,1.155607380E1,2.906353760E1,1.720000029E0,9.259999847E1,2.237478298E-1,9.935046196E0,2.500000000E0,6.900000000E1
