"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.156084146E2,6.496592783E1,2.561730595E1,8.710297580E0,1.509999990E0,9.159999847E1,9.935046196E0,2.500000000E0
1.166085084E2,6.496592717E1,2.561733719E1,8.737941594E0,1.460000038E0,9.009999847E1,9.935046196E0,2.500000000E0
1.176077039E2,6.496592598E1,2.561736926E1,8.653646510E0,1.500000000E0,9.400000000E1,9.935046196E0,2.500000000E0
1.186080212E2,6.496592619E1,2.561740130E1,8.559648180E0,1.509999990E0,8.850000000E1,9.935046196E0,2.500000000E0
1.196077654E2,6.496592599E1,2.561743375E1,8.485607897E0,1.519999981E0,9.000000000E1,9.935046196E0,2.500000000E0
1.206084244E2,6.496592606E1,2.561746609E1,8.407783708E0,1.500000000E0,8.950000000E1,9.935046196E0,2.500000000E0
1.216079041E2,6.496592591E1,2.561749880E1,8.312014922E0,1.529999971E0,9.040000153E1,9.935046196E0,2.500000000E0
1.226083109E2,6.496592508E1,2.561753140E1,8.261899798E0,1.529999971E0,9.280000305E1,9.935046196E0,2.500000000E0
1.236084890E2,6.496592451E1,2.561756435E1,8.251213585E0,1.519999981E0,9.240000153E1,9.935046196E0,2.500000000E0
1.246081315E2,6.496592329E1,2.561759738E1,8.164415900E0,1.559999943E0,9.490000153E1,9.935046196E0,2.500000000E0
1.256081869E2,6.496592239E1,2.561762998E1,8.189862232E0,1.580000043E0,9.380000305E1,9.935046196E0,2.500000000E0
1.266078789E2,6.496592157E1,2.561766648E1,8.134985840E0,1.620000005E0,9.300000000E1,9.935046196E0,2.500000000E0
1.276079792E2,6.496592063E1,2.561770091E1,7.954987547E0,1.590000033E0,9.040000153E1,9.935046196E0,2.500000000E0
1.286078097E2,6.496592006E1,2.561773567E1,7.940761047E0,1.600000024E0,9.000000000E1,9.935046196E0,2.500000000E0
1.296085268E2,6.496591867E1,2.561777060E1,7.828816455E0,1.629999995E0,9.350000000E1,9.935046196E0,2.500000000E0
1.306081887E2,6.496591833E1,2.561780548E1,7.757339182E0,1.600000024E0,9.090000153E1,9.935046196E0,2.500000000E0
1.316084235E2,6.496591808E1,2.561784090E1,7.787851667E0,1.620000005E0,9.069999695E1,9.935046196E0,2.500000000E0
1.326081652E2,6.496591876E1,2.561787638E1,7.584051068E0,1.600000024E0,8.769999695E1,9.935046196E0,2.500000000E0
1.336084557E2,6.496591857E1,2.561791193E1,7.625244745E0,1.610000014E0,8.950000000E1,9.935046196E0,2.500000000E0
1.346079009E2,6.496591849E1,2.561794781E1,7.504023931E0,1.610000014E0,9.009999847E1,9.935046196E0,2.500000000E0
1.356083118E2,6.496591814E1,2.561798498E1,7.438283639E0,1.620000005E0,9.180000305E1,9.935046196E0,2.500000000E0
1.366078417E2,6.496591721E1,2.561802172E1,7.458053106E0,1.629999995E0,9.350000000E1,9.935046196E0,2.500000000E0
1.376082948E2,6.496591773E1,2.561805672E1,7.386637674E0,1.629999995E0,8.969999695E1,9.935046196E0,2.500000000E0
1.386085816E2,6.496591761E1,2.561809199E1,7.349523350E0,1.659999967E0,9.130000305E1,9.935046196E0,2.500000000E0
1.396077435E2,6.496591725E1,2.561812828E1,7.369415494E0,1.690000057E0,9.180000305E1,9.935046196E0,2.500000000E0
1.406080645E2,6.496591737E1,2.561816349E1,7.154994279E0,1.620000005E0,9.000000000E1,9.935046196E0,2.500000000E0
1.416083969E2,6.496591719E1,2.561819928E1,7.094015081E0,1.649999976E0,9.140000153E1,9.935046196E0,2.500000000E0
1.426081436E2,6.496591646E1,2.561823458E1,7.155838159E0,1.629999995E0,9.269999695E1,9.935046196E0,2.500000000E0
1.436078606E2,6.496591710E1,2.561827044E1,7.094615595E0,1.659999967E0,8.869999695E1,9.935046196E0,2.500000000E0
1.446081671E2,6.496591694E1,2.561830637E1,7.010809248E0,1.649999976E0,9.069999695E1,9.935046196E0,2.500000000E0
1.456085350E2,6.496591729E1,2.561834142E1,7.140077241E0,1.639999986E0,8.990000153E1,9.935046196E0,2.500000000E0
1.466079933E2,6.496591599E1,2.561837688E1,7.388667329E0,1.649999976E0,9.430000305E1,9.935046196E0,2.500000000E0
1.476079569E2,6.496591528E1,2.561841270E1,6.973866820E0,1.639999986E0,9.159999847E1,9.935046196E0,2.500000000E0
1.486084813E2,6.496591429E1,2.561844981E1,6.909224557E0,1.720000029E0,9.190000153E1,9.935046196E0,2.500000000E0
1.496076761E2,6.496591277E1,2.561848657E1,6.809425585E0,1.720000029E0,9.300000000E1,9.935046196E0,2.500000000E0
1.506082112E2,6.496591168E1,2.561852187E1,6.714998318E0,1.659999967E0,9.400000000E1,9.935046196E0,2.500000000E0
1.516084067E2,6.496591078E1,2.561855636E1,6.639553277E0,1.669999957E0,9.390000153E1,9.935046196E0,2.500000000E0
1.526083940E2,6.496590936E1,2.561858934E1,6.897604040E0,1.669999957E0,9.380000305E1,9.935046196E0,2.500000000E0
1.536078850E2,6.496590835E1,2.561862078E1,6.956314586E0,1.649999976E0,9.200000000E1,9.935046196E0,2.500000000E0
1.546084135E2,6.496590700E1,2.561865313E1,7.031260033E0,1.679999948E0,9.209999847E1,9.935046196E0,2.500000000E0
1.556083750E2,6.496590729E1,2.561868483E1,7.492620712E0,1.659999967E0,8.790000153E1,9.935046196E0,2.500000000E0
1.566084382E2,6.496590635E1,2.561871666E1,7.484558810E0,1.659999967E0,9.400000000E1,9.935046196E0,2.500000000E0
1.576082540E2,6.496590490E1,2.561874835E1,8.072016459E0,1.669999957E0,9.530000305E1,9.935046196E0,2.500000000E0
1.586079164E2,6.496590285E1,2.561878256E1,8.032947310E0,1.639999986E0,9.719999695E1,9.935046196E0,2.500000000E0
1.596077397E2,6.496590124E1,2.561881620E1,8.204266843E0,1.679999948E0,9.409999847E1,9.935046196E0,2.500000000E0
1.606084512E2,6.496590017E1,2.561884885E1,8.226966423E0,1.659999967E0,9.409999847E1,9.935046196E0,2.500000000E0
1.616080469E2,6.496589957E1,2.561888325E1,8.381319045E0,1.659999967E0,9.380000305E1,9.935046196E0,2.500000000E0
1.626076544E2,6.496589785E1,2.561891779E1,8.534022627E0,1.679999948E0,9.959999847E1,9.935046196E0,2.500000000E0
